代號,名稱,產業,族群,分數,5日漲幅,RSI,成交量,成交值,收盤價,風險
5015,,其他,其他,15,9.09,58.93,77000,1848000,24.0,低
5016,,其他,其他,15,5.24,55.24,159000,4149900,26.1,低
6206,,電腦設備,其他,15,5.73,70.09,2085756,288877206,138.5,中
6209,,其他,其他,15,3.8,60.75,14716674,1205295623,81.9,低
2387,,其他,其他,15,3.2,47.5,707039,28529022,40.35,低
2395,,其他,其他,15,5.83,55.34,4606689,2259580954,490.5,低
2399,,其他,其他,15,10.42,61.64,8978470,428273025,47.7,低
2404,,其他,其他,15,5.45,63.71,4488292,5206418720,1160.0,低
6664,,其他,其他,15,15.8,49.89,1389936,631725912,454.5,低
6214,,其他,其他,15,4.03,61.76,1357967,175177743,129.0,低
2762,,其他,其他,15,-1.93,70.39,153294,12462802,81.3,中
6215,,其他,其他,15,6.97,65.25,3861720,503954460,130.5,中
2342,,其他,其他,15,4.82,45.98,13705996,581134251,42.4,低
2908,,其他,其他,15,1.9,76.19,311780,6687681,21.45,高
2911,,其他,其他,15,5.44,76.66,478425,3985280,8.33,高
6180,,其他,其他,15,1.78,55.81,861412,34413410,39.95,低
2849,,其他,其他,15,3.38,42.22,58122,799177,13.75,低
2851,,其他,其他,15,-0.98,71.66,2373471,83546181,35.2,中
2852,,其他,其他,15,-0.55,72.73,363957,9790443,26.9,中
2886,,其他,金融,15,-1.0,45.65,36793957,1464399460,39.8,低
3531,,其他,其他,15,-0.64,51.22,16449,382439,23.25,低
5209,,其他,其他,15,2.74,68.42,50000,8450000,169.0,中
5210,,其他,其他,15,0.18,47.8,565014,15396631,27.25,低
5223,,其他,其他,15,6.47,59.76,60000,1530000,25.5,低
8105,,記憶體,其他,15,8.74,71.22,5514045,92635951,16.8,中
8112,,其他,其他,15,2.38,48.31,36978521,3180152806,86.0,低
3491,,光通訊,矽光子,15,8.11,65.33,1089638,2179276000,2000.0,中
2923,,其他,其他,15,11.74,32.13,73735,1754892,23.8,低
2948,,其他,其他,15,0.53,49.63,5001,190038,38.0,低
3003,,其他,其他,15,2.81,66.33,1964198,122173117,62.2,中
6670,,其他,其他,15,1.16,52.94,701574,183812388,262.0,低
6672,,其他,其他,15,19.83,42.08,7247969,1532945443,211.5,低
6674,,其他,其他,15,6.21,43.88,25000,448750,17.95,低
6679,,其他,其他,15,7.13,61.43,682178,225118740,330.0,低
2377,,其他,其他,15,9.29,71.96,27753416,3427546876,123.5,中
3498,,其他,其他,15,-1.02,73.95,1084850,157303250,145.0,中
1604,,其他,其他,15,0.43,78.95,364963,8503637,23.3,高
1539,,其他,其他,15,3.23,56.41,137409,2198544,16.0,低
1540,,其他,其他,15,1.43,54.93,558969,11878091,21.25,低
1560,,其他,其他,15,7.17,70.08,1687066,1209626322,717.0,中
5288,,其他,其他,15,4.78,50.0,190000,29165000,153.5,低
3467,,其他,其他,15,19.52,53.21,852727,63187069,74.1,低
8077,,其他,其他,15,7.19,64.2,1255,55220,44.0,低
8084,,其他,其他,15,4.39,49.23,74000,3344800,45.2,低
5309,,其他,其他,15,1.18,62.7,14870345,1018618632,68.5,低
6151,,其他,其他,15,5.55,65.57,1711131,76487557,44.7,中
2330,,其他,晶圓代工,15,2.91,50.56,41003818,94103762310,2295.0,低
2349,,其他,其他,15,7.91,60.91,12256721,167304236,13.65,低
6155,,其他,其他,15,5.01,65.98,6144064,360656561,58.7,中
2916,,其他,其他,15,-0.67,82.6,455858,19898202,43.65,高
3434,,其他,其他,15,2.98,64.58,71498,2098466,29.35,低
1726,,其他,其他,15,0.0,55.26,56366,4340182,77.0,低
1732,,其他,其他,15,0.0,51.61,359791,9570440,26.6,低
8044,,其他,其他,15,-2.41,69.01,1598114,45226624,28.3,中
8048,,其他,其他,15,4.78,53.16,342100,21757559,63.6,低
3323,,電池能源,BBU,15,4.52,59.11,4267302,157890174,37.0,低
3332,,其他,其他,15,1.09,49.57,115274,7504337,65.1,低
3372,,其他,其他,15,8.31,64.71,2336905,50243457,21.5,低
5410,,其他,其他,15,1.32,65.29,759644,29132346,38.35,中
5439,,其他,其他,15,5.76,43.26,2886018,1112559939,385.5,低
5443,,其他,其他,15,8.58,51.33,5256452,664941178,126.5,低
6983,,其他,其他,15,21.81,49.26,459330,197511900,430.0,低
6988,,其他,其他,15,-2.66,79.49,123000,2023350,16.45,高
1762,,其他,其他,15,5.83,53.49,486995,19455450,39.95,低
8021,,其他,其他,15,20.78,51.23,1240890,541028040,436.0,低
8040,,其他,其他,15,14.49,73.78,4931462,557255206,113.0,中
3008,,其他,其他,15,-1.01,67.92,1348800,4619640000,3425.0,中
3013,,其他,其他,15,16.92,60.4,5129681,602737517,117.5,低
2254,,其他,其他,15,11.64,41.45,11053,720655,65.2,低
6722,,其他,其他,15,3.49,35.25,93000,3580500,38.5,低
3017,,其他,AI伺服器,15,3.41,56.85,5060996,13057369680,2580.0,低
3025,,自動化設備,自動化設備,15,16.87,71.33,2254468,170212334,75.5,中
6146,,其他,其他,15,3.0,46.34,1033109,230383307,223.0,低
6762,,其他,其他,15,-9.47,70.77,12060,2074320,172.0,中
3049,,其他,其他,15,3.33,45.88,14354214,177992248,12.4,低
3057,,其他,其他,15,4.7,38.52,297698,5968844,20.05,低
3059,,其他,其他,15,-3.13,61.16,12796481,535532710,41.85,低
6126,,其他,其他,15,3.08,62.57,2272143,79752215,35.1,低
6136,,其他,其他,15,2.19,59.55,459001,11796326,25.7,低
3030,,其他,其他,15,7.21,55.04,7042147,2880238123,409.0,低
3037,,其他,其他,15,13.26,71.61,25098848,25726319200,1025.0,中
5464,,其他,其他,15,5.33,78.84,419200,29805119,71.1,高
3293,,其他,其他,15,1.22,56.73,2873628,2152347372,749.0,低
3310,,其他,其他,15,3.57,57.09,1085552,78811073,72.6,低
3312,,其他,其他,15,5.23,67.68,3736853,184226850,49.3,中
3236,,其他,其他,15,10.88,79.37,3959252,211819982,53.5,高
3288,,其他,其他,15,1.0,58.06,27909,421425,15.1,低
5488,,其他,其他,15,1.28,75.34,887293,10514422,11.85,高
5498,,其他,其他,15,12.23,41.62,7666529,527457218,68.8,低
6024,,其他,其他,15,1.79,36.0,438320,24896575,56.8,低
6101,,其他,其他,15,4.91,54.94,184163,7477017,40.6,低
6108,,其他,其他,15,3.42,21.38,1757003,34525108,19.65,低
6117,,其他,高速傳輸,15,8.23,50.26,4277188,365699574,85.5,低
6741,,其他,其他,15,3.56,44.0,515252,32976128,64.0,低
2109,,其他,其他,15,0.71,53.57,181006,2552184,14.1,低
2201,,其他,其他,15,2.05,45.56,5213657,142593520,27.35,低
6757,,其他,其他,15,4.01,47.29,1156341,63020584,54.5,低
5520,,其他,其他,15,0.24,80.77,26100,2145419,82.2,高
6924,,其他,其他,15,0.61,88.04,64000,10496000,164.0,高
5523,,其他,其他,15,0.66,60.0,205100,6245295,30.45,低
3209,,其他,其他,15,-0.76,74.84,3914182,307263287,78.5,中
3229,,其他,其他,15,19.52,55.64,843112,37940040,45.0,低
5607,,其他,其他,15,4.47,58.05,605351,30388620,50.2,低
2006,,其他,其他,15,1.37,44.9,3810840,253039781,66.4,低
2017,,其他,其他,15,5.15,53.25,1113417,10009618,8.99,低
6903,,其他,其他,15,13.77,51.48,1264876,533145234,421.5,低
6904,,其他,其他,15,3.08,57.14,0,0,117.0,低
3167,,其他,其他,15,5.16,62.25,494692,393280140,795.0,低
3169,,其他,其他,15,2.97,59.78,1260428,153142002,121.5,低
3060,,其他,其他,15,4.17,54.22,3724964,106906469,28.7,低
3062,,通信網路,通信網路,15,3.52,60.83,13010171,382499022,29.4,低
