日期,代號,名稱,族群,分數,收盤價
2026-05-28,2332,友訊,其他,24,15.6
2026-05-28,6732,昇佳電子,其他,24,183.0
2026-05-28,3310,佳穎,其他,24,76.6
2026-05-28,3372,典範,其他,24,22.05
2026-05-28,6870,騰雲,其他,24,239.5
2026-05-28,6617,共信-KY,其他,24,73.8
2026-05-28,6134,萬旭,其他,24,33.3
2026-05-28,6417,韋僑,其他,24,144.5
2026-05-28,4168,醣聯,其他,24,28.25
2026-05-28,6021,美好證,其他,24,34.9
2026-05-28,5228,鈺鎧,其他,24,57.5
2026-05-28,8032,光菱,其他,24,45.95
2026-05-28,1525,江申,其他,24,69.8
2026-05-28,5465,富驊,其他,24,26.8
2026-05-28,2434,統懋,其他,24,33.2
2026-05-28,3085,新零售,其他,24,13.5
2026-05-28,4768,晶呈科技,其他,23,504.0
2026-05-28,2465,麗臺,其他,23,86.0
2026-05-28,8240,華宏,其他,23,68.2
2026-05-28,6877,鏵友益,其他,23,172.5
2026-05-28,2349,錸德,其他,23,13.85
2026-05-28,1623,大東電,其他,23,238.5
2026-05-28,6913,鴻呈,其他,23,144.0
2026-05-28,3483,力致,其他,23,96.3
2026-05-28,2330,台積電,晶圓代工,22,2300.0
2026-05-28,8299,群聯,其他,22,2480.0
2026-05-28,5347,世界,其他,22,166.0
2026-05-28,2451,創見,其他,22,321.0
2026-05-28,2059,川湖,其他,22,4920.0
2026-05-28,2883,凱基金,其他,22,22.3
2026-05-28,4931,新盛力,BBU,22,207.0
2026-05-28,2485,兆赫,其他,22,74.1
2026-05-28,1504,東元,其他,22,70.8
2026-05-28,2027,大成鋼,其他,22,42.45
2026-05-28,2542,興富發,其他,22,43.1
2026-05-28,2439,美律,其他,22,90.7
2026-05-28,2347,聯強,其他,22,85.9
2026-05-28,3551,世禾,其他,22,207.5
2026-05-28,8027,鈦昇,其他,22,249.5
2026-05-28,3438,類比科,其他,22,74.0
2026-05-28,2850,新產,其他,22,141.5
2026-05-28,5236,凌陽創新,其他,22,186.0
