代號,產業,族群,分數,5日漲幅,RSI,成交量,成交值,風險
8358,其他,其他,26,21.74,64.26,4508995,2525037200,低
3042,其他,其他,26,31.63,63.33,2200331,425764048,低
3037,其他,PCB,26,21.32,58.97,22262249,22039626510,低
2383,其他,PCB,26,20.71,57.62,2110806,11197825830,低
3051,其他,其他,26,23.94,53.41,18000413,554412706,低
6161,其他,其他,26,17.84,75.47,3311945,199047889,高
6579,其他,其他,26,10.42,73.68,898440,142851960,中
6546,其他,其他,26,12.87,73.01,1817649,146684268,中
6197,其他,其他,26,25.4,63.09,7618294,2087412556,低
2929,其他,其他,26,28.63,72.18,1256001,8352406,中
3105,其他,其他,26,25.42,62.0,48111520,26942451200,低
3131,其他,設備,26,32.75,58.54,416570,1426752250,低
4927,其他,其他,26,29.09,55.05,24005386,1485933430,低
3390,其他,其他,26,10.37,57.84,5409527,161203900,低
3528,其他,其他,26,10.36,59.31,1823481,167030856,低
4923,其他,其他,26,32.22,78.43,939263,46634409,高
3581,其他,其他,26,22.93,58.31,3162810,797028120,低
4127,其他,其他,26,28.27,77.27,493109,32890368,高
8086,其他,網安,26,20.07,63.12,15127450,2624612575,低
6937,其他,其他,26,22.9,55.02,2438877,857265265,低
6613,其他,其他,26,13.13,76.76,406813,113907640,高
2360,其他,探針卡,26,27.12,61.9,2634558,6915714750,低
2324,其他,被動元件,26,21.01,62.62,116358890,3886387103,低
3167,其他,其他,26,23.28,60.79,7764657,6825133503,低
2439,其他,其他,25,6.33,65.44,7037015,638257239,中
6446,其他,新藥,25,4.22,81.85,3282637,2757415080,高
3034,其他,其他,25,2.84,71.04,4666747,2282039283,中
3059,其他,其他,25,0.23,64.9,19972056,864790009,低
6285,其他,交換器,25,4.2,71.38,34540701,10293128898,中
2885,其他,金融,25,7.99,65.45,39966642,2378015199,中
2458,其他,其他,25,7.52,68.47,3314700,545268150,中
2908,其他,其他,25,1.91,76.19,740579,15811361,高
3067,其他,其他,25,6.94,67.92,35010,647685,中
6176,其他,其他,25,7.61,65.82,6862089,737674567,中
6526,其他,其他,25,8.85,70.59,2558448,1918836000,中
3055,其他,其他,25,4.42,73.28,6664427,786402386,中
6127,其他,其他,25,9.21,72.14,39101622,2224882351,中
2379,其他,800G,25,6.7,64.22,6036426,3652037730,低
3135,其他,其他,25,2.64,69.96,1982348,423231298,中
2373,其他,其他,25,2.65,65.0,144116,8358728,中
3046,其他,其他,25,5.88,74.87,587059,31701186,中
2385,其他,其他,25,5.45,56.52,6092849,825581039,低
3014,其他,其他,25,9.59,75.36,3379312,501827832,高
8101,其他,其他,25,5.3,69.74,14101,196003,中
1609,其他,電纜,25,8.73,65.0,10638281,390956826,中
