股票代號,股票名稱
700455,神盾永豐55購01
700456,訊聯永豐57購01
700457,高技永豐54購02
700458,高技永豐55購01
700459,擎亞永豐55購01
700460,威剛國泰55購01
700461,雷科國泰55購01
700462,IET元富54購01
700463,雍智元富54購02
700464,良維永豐56購01
700465,威剛永豐54購03
700466,凌陽創永豐54購01
700467,雙鴻永豐57購01
700468,鑫聯永豐55購01
700469,中光電凱基59購01
700470,金山電凱基54購02
700471,信立凱基56購01
700472,威剛凱基56購01
700473,高技凱基54購01
700474,擎亞凱基54購01
700475,雙鴻凱基55購05
700476,穩得凱基54購01
700477,鑫聯凱基54購02
700478,中美晶元大54購06
700479,世界元大54購02
700480,良維元大54購10
700481,宜鼎元大58購02
700482,昇達科元大59購02
700483,欣銓元大54購05
700484,原相元大56購01
700485,鈊象元大54購11
700486,雙鴻元大54購21
700487,弘塑群益54購05
700488,原相群益54購04
700489,神盾群益54購03
700490,訊聯群益54購01
700491,聖暉*群益54購03
700492,優群群益54購01
700493,雙鴻群益55購06
700494,穩懋群益54購01
700495,家登兆豐56購01
700496,聖暉*兆豐56購01
700497,穩得國票54購02
700498,台星科凱基54購01
700499,良維凱基57購04
700500,宜鼎凱基54購07
700501,威剛凱基54購06
700502,泰金凱基55購01
700503,鈊象凱基54購07
700504,雷科凱基54購03
700505,雙鴻凱基54購08
700506,鑫聯凱基54購03
700507,金益鼎國泰55購01
700508,雙鴻國泰55購02
700509,鑫聯國泰55購01
700510,中光電元富54購03
700511,立碁元富54購01
700512,能率元富54購03
700513,訊聯元富54購01
700514,弘塑永豐55購02
700515,亞信永豐57購01
700516,威剛永豐56購02
700517,竑騰永豐56購01
700518,博智永豐56購01
700519,聖暉*永豐54購02
700520,雷科永豐55購01
700521,世界元大54購03
700522,宜鼎元大59購02
700523,原相元大56購02
700524,能率元大54購02
700525,順達元大54購10
700526,臺慶科元大54購02
700527,擎亞元大54購02
700528,中光電群益54購09
700529,宜鼎群益54購01
700530,神盾群益56購01
700531,能率群益54購01
700532,雙鴻群益56購02
700533,世界凱基54購01
700534,良維凱基58購01
700535,宜鼎凱基54購08
700536,長聖凱基54購01
700537,威剛凱基54購07
700538,原相凱基56購01
700539,華星光凱基54購02
700540,臺慶科凱基54購01
700541,鴻呈凱基54購02
700542,雙鴻凱基59購03
700543,華星光元富54購01
700544,宜鼎永豐55購02
700545,華星光永豐57購01
700546,聖暉*永豐57購01
700547,穩得永豐56購01
700548,弘塑國泰55購01
700549,博智國泰55購01
700550,華星光國泰55購01
700551,鑫聯國泰55購02
700552,台燿富邦57購01
700553,弘塑富邦56購01
700554,弘塑富邦56購02
700555,合晶富邦56購01
700556,良維富邦57購02
700557,宜鼎富邦57購01
700558,鈊象富邦56購03
700559,萬潤富邦56購02
700560,廣明富邦55購04
700561,FH中5G群益54購01
700562,宜鼎群益54購02
700563,神盾群益56購02
700564,華星光群益56購02
700565,鈊象群益54購06
700566,營邦群益56購01
700567,雙鴻群益54購03
700568,世界元大54購04
700569,台燿元大57購03
700570,宜鼎元大54購13
700571,宜鼎元大59購03
700572,昇達科元大54購10
700573,博智元大55購01
700574,華星光元大54購10
700575,華星光元大54購11
700576,鈊象元大57購01
700577,雙鴻元大54購22
700578,鑫聯元大54購01
700579,世界兆豐56購01
700580,宜鼎兆豐5A購01
700581,大宇資國票55購01
700582,弘塑國票59購01
700583,威剛國票55購02
700584,美琪瑪國票55購01
700585,神盾國票58購01
700586,華電網國票54購01
700587,營邦國票54購01
700588,穩懋國票55購01
700589,中美晶元大54購07
700590,台燿元大57購04
700591,宜鼎元大54購14
700592,昇達科元大54購11
700593,昇達科元大54購12
700594,原相元大5A購01
700595,華星光元大59購01
700596,鈊象元大54購12
700597,雙鴻元大54購23
700598,弘塑國泰55購02
700599,宇峻國泰55購01
700600,良維國泰55購01
700601,宜鼎國泰55購01
700602,威剛國泰55購02
700603,臺慶科國泰55購01
700604,智通*富邦56購01
700605,順達富邦55購02
700606,世界凱基54購02
700607,宜鼎凱基59購01
700608,昇達科凱基59購01
700609,信立凱基56購02
700610,威剛凱基56購02
700611,胡連凱基54購01
700612,智通*凱基54購02
700613,緯軟凱基57購01
700614,營邦凱基56購01
700615,雙鴻凱基54購09
700616,立碁元富55購01
700617,立端元富54購01
700618,國眾元富54購01
700619,國眾元富54購02
700620,國眾元富55購01
700621,新鼎元富54購01
700622,臺慶科元富54購01
700623,智通*永豐55購01
700624,雍智永豐56購01
700625,營邦永豐54購01
700626,良維群益54購02
700627,原相群益54購05
700628,神盾群益54購04
700629,雙鴻群益54購04
700630,博智國泰55購02
700631,聯合國泰55購01
700632,弘塑元大54購07
700633,弘塑元大54購08
700634,弘塑元大54購09
700635,弘塑元大57購02
700636,正德元大54購04
700637,合晶元大54購03
700638,原相元大5A購02
700639,能率元大54購03
700640,華星光元大54購12
700641,臺慶科元大54購03
700642,雙鴻元大54購24
700643,華星光富邦54購02
700644,正德凱基54購03
700645,旺矽凱基54購13
700646,信昌電凱基54購02
700647,鈊象凱基56購01
700648,臺慶科凱基54購02
700649,雙鴻凱基54購11
700650,弘塑元富55購02
700651,威剛元富54購05
700652,威剛元富54購06
700653,威剛元富54購07
700654,正淩國票56購01
700655,立端國票55購01
700656,宜鼎國票55購01
700657,東浦國票55購01
700658,金山電國票55購02
700659,信音國票54購01
700660,信音國票56購01
700661,宣德國票55購02
700662,常珵國票55購01
700663,蜜望實國票54購01
700664,蜜望實國票56購01
700665,鴻呈國票55購01
700666,雙鴻國票55購02
700667,IET中信55購01
700668,鈊象中信55購01
700669,良維永豐56購02
700670,中光電統一6A購03
700671,正德統一5A購01
700672,旺矽統一5A購01
700673,信昌電統一6A購01
700674,信昌電統一6A購02
700675,高技統一5A購02
700676,高技統一6A購01
700677,高技統一6A購02
700678,智通*統一6A購01
700679,智擎統一6A購01
700680,華星光統一58購03
700681,鈊象統一6A購01
700682,萬潤統一6A購02
700683,雍智統一6A購01
700684,雍智統一6A購02
700685,臺慶科統一5A購01
700686,臺慶科統一6A購01
700687,緯軟統一6A購01
700688,營邦統一6A購01
700689,聯合統一61購01
700690,正德群益54購01
700691,昇達科群益54購03
700692,信昌電群益56購01
700693,威剛群益54購04
700694,蜜望實群益54購01
700695,櫃200群益54購01
700696,雙鴻群益54購05
700697,弘塑凱基54購05
700698,均豪凱基54購02
700699,良維凱基56購03
700700,昇達科凱基54購06
700701,信昌電凱基56購01
700702,原相凱基54購05
700703,博智凱基56購02
700704,智通*凱基54購03
700705,雙鴻凱基54購12
700706,中光電統一5A購01
700707,弘塑統一58購01
700708,信立統一6A購01
700709,神盾統一5C購02
700710,智通*統一6A購02
700711,華星光統一6A購01
700712,聖暉*統一6A購02
700713,中光電元大54購16
700714,弘塑元大54購10
700715,弘塑元大54購11
700716,弘塑元大54購12
700717,宜鼎元大5A購01
700718,旺矽元大54購13
700719,旺矽元大54購14
700720,旺矽元大56購02
700721,鈊象元大54購13
700722,雙鴻元大54購25
700723,聖暉*兆豐56購02
700724,良維群益56購03
700725,旺矽群益54購05
700726,信昌電群益54購02
700727,威剛群益55購05
700728,鈊象群益54購07
700729,漢科群益54購02
700730,雙鴻群益54購06
700731,世禾國票55購02
700732,台半國票55購01
700733,正德國票54購02
700734,良維國票57購01
700735,旺矽國票55購03
700736,寬宏國票54購02
700737,鴻呈國票59購01
700738,系微永豐57購01
700739,旺矽永豐54購04
700740,旺矽永豐55購02
700741,能率永豐55購01
