股票代號,股票名稱,收盤價,MA5,MA20,MA60,成交量,成交值,量MA5,RSI,5日漲幅
1475,業旺,25.0,25.06,26.61,28.03,102060,2551500,65466,21.34,-1.19
1476,儒鴻,331.0,337.2,337.1,348.78,3134285,1037448335,2041087,44.76,0.15
1477,聚陽,215.5,215.9,216.62,241.6,4089221,881227125,2860126,44.43,1.17
1503,士電,221.0,202.2,196.95,196.58,20866623,4611523683,7272391,68.67,22.1
1504,東元,70.8,71.7,69.98,67.04,24965572,1767562573,16640998,55.48,2.61
1506,正道,10.1,10.36,10.42,10.98,466671,4713377,467509,40.72,1.0
1512,瑞利,6.82,6.94,7.14,7.37,96789,660100,98851,32.66,-3.94
1513,中興電,169.0,161.0,155.12,154.38,30787075,5203015675,17623697,70.53,13.8
1514,亞力,125.0,122.4,119.05,114.06,14305317,1788164625,7774403,62.97,10.62
1515,力山,21.95,22.48,22.32,23.51,1062135,23313864,539603,43.02,-0.23
1516,川飛,20.6,20.87,21.41,21.47,36206,745843,82895,42.63,-3.29
1517,利奇,9.95,10.02,10.13,10.91,459123,4568273,371332,30.89,-0.5
1519,華城,878.0,837.0,860.5,876.75,6230377,5470271006,2868454,54.37,14.03
1521,大億,24.5,24.52,24.71,24.99,44083,1080033,30857,45.48,1.03
1522,堤維西,28.6,29.2,30.48,33.24,1644722,47039049,955457,32.79,-1.72
1524,耿鼎,29.0,29.33,28.9,29.15,986839,28618331,1240771,49.65,-1.36
1525,江申,69.8,67.28,62.58,62.01,140753,9824559,166807,70.46,18.71
1526,日馳,14.3,14.49,15.2,16.61,141269,2020146,122274,26.56,-1.72
1527,鑽全,32.7,32.81,32.55,32.62,820641,26834961,443081,51.56,0.46
1528,恩德,25.05,26.01,26.64,25.49,5534314,138634561,5662024,43.89,-0.4
1529,樂事綠能,22.45,21.34,21.6,23.85,2027016,45506510,1106836,54.36,10.32
1530,亞崴,32.7,29.9,27.39,27.09,2053836,67160438,631684,86.79,19.56
1531,高林股,12.05,12.27,12.63,12.68,394968,4759364,276442,31.72,-2.03
